MIDI,dB,Total,Clarity,Crest,SpecBal,CPP,Entropy,dEGGmax,Qcontact,Icontact,HRFegg,maxCluster,Cluster 1,Cluster 2,Cluster 3,Cluster 4,Cluster 5,maxCPhon,cPhon 1,cPhon 2,cPhon 3,cPhon 4,cPhon 5,cPhon 6
50,77,19,0.98006152,2.527430297,-17.87577521,31.55709422,6.30229,10.17449548,0.422712596,0.10225,-34.54194,5,0,0,0,0,7,6,0,0,0,0,0,7
50,78,117,0.980986739,2.373846733,-16.46004856,30.6835333,6.76899,7.17220461,0.433948396,0.02565,-41.72857,5,0,0,0,0,12,6,0,0,0,0,0,12
50,79,101,0.976300314,2.385058663,-15.26361418,30.21095655,6.11459,6.287872704,0.448142092,0.0578,-38.68183,5,0,0,0,0,8,6,0,0,0,0,0,8
50,80,163,0.978476705,2.345689855,-13.769788,29.83988548,0.94914,3.356528211,0.519273675,0.5114,-1.31224,1,1,0,0,1,0,2,0,1,0,1,0,0
50,81,64,0.968918645,2.563511536,-13.46740457,29.30979221,3.73676,4.215193649,0.548376892,0.08396,-5.86592,5,0,0,1,0,2,5,0,0,0,0,2,1
50,82,62,0.975266533,2.617321353,-11.57492476,30.41381326,2.72528,4.363031638,0.546297043,0.14256,-10.80761,3,1,0,19,14,15,6,0,0,13,6,13,17
51,56,11,0.971697655,1.528845354,-29.10388218,18.3871493,1.9742,1.927404628,0.470645304,0.086,-12.9932,5,0,0,4,0,5,6,0,0,4,0,0,5
51,57,16,0.970802349,1.501768078,-27.50489379,21.4137879,2.79497,1.715805769,0.490982679,0.09905,-13.73125,5,0,0,10,0,12,6,0,0,6,0,3,13
51,63,10,0.981923845,1.959171148,-22.47496046,27.36696519,4.38497,8.198877449,0.408794954,0.01516,-27.43257,5,0,0,0,0,9,6,0,0,0,0,0,9
51,64,23,0.97781935,1.969736142,-24.23473094,26.5983143,6.21332,5.81470442,0.418656488,0.05339,-34.33382,5,0,0,0,0,14,6,0,0,0,0,0,14
51,65,15,0.979523472,2.074901435,-23.16421485,26.55744346,6.85668,5.916759924,0.442964665,0.05737,-41.78147,5,0,0,0,0,9,6,0,0,0,0,0,9
51,66,28,0.97931608,2.183175872,-29.04244517,25.31343202,7.8809,4.659289263,0.400999111,0.09405,-37.83442,5,0,0,0,0,4,6,0,0,0,0,0,4
51,67,12,0.984535101,2.18069838,-23.22583225,26.67913308,4.1614,6.774758087,0.459314523,0.52733,-1.95368,4,3,0,2,4,0,5,0,3,1,1,4,0
51,68,21,0.981441754,2.284705033,-25.35810176,27.31939614,0.13123,6.480722884,0.37522841,0.2127,0.55514,2,0,1,0,0,0,5,0,0,0,0,1,0
51,69,14,0.986652202,2.172037223,-22.47061802,28.78211132,3.63347,5.741179362,0.463644769,0.142,-2.3689,3,0,0,8,0,0,5,0,0,1,0,7,0
51,70,25,0.979397301,2.171068565,-23.20380544,26.43742274,3.60577,5.886463751,0.432521015,0.12655,-8.73942,3,1,1,39,3,13,6,0,0,11,1,16,29
51,76,9,0.964791604,2.762111739,-18.11276062,26.49122438,4.02617,11.52484192,0.440760002,0.38614,0.63044,4,1,0,0,4,0,5,0,1,0,0,4,0
52,43,11,0.96313528,1.623503889,-16.43739539,17.04548502,3.19895,2.013962039,0.506656895,0.15951,-9.20071,4,0,0,0,5,2,3,0,0,4,0,1,2
52,44,33,0.969886457,1.512104162,-16.85347918,15.91567496,1.99678,2.072866257,0.494516769,0.14361,-11.41221,3,0,0,8,0,2,3,0,0,6,0,2,2
52,47,26,0.981560034,1.52715493,-19.84094017,15.95427803,3.30315,2.146458437,0.464613615,0.04135,-22.09775,5,0,0,6,0,23,6,0,0,0,0,6,23
52,49,11,0.986580044,1.554967385,-22.46412303,16.42129976,5.94393,3.731286962,0.525621156,0.02588,-35.07535,5,0,0,0,0,26,6,0,0,0,0,0,26
52,50,14,0.986170302,1.505051815,-23.10661875,17.68192051,4.99459,1.476861802,0.44840905,0.07998,-39.84114,5,0,0,0,0,22,6,0,0,0,0,0,22
52,51,49,0.986879887,1.516050905,-25.29565745,16.98219958,6.37622,2.523174049,0.496899564,0.11614,-32.6221,5,0,0,0,0,12,6,0,0,0,0,0,12
52,52,33,0.988006104,1.479003566,-25.62752034,16.15784173,0.19817,1.63096544,0.475972298,0.23896,-0.0397,2,0,13,2,1,0,5,0,0,4,0,12,0
52,53,43,0.986834934,1.513190445,-25.03279803,15.94225239,0.63708,2.45620054,0.434113277,0.18454,1.83115,4,0,8,5,38,0,5,0,0,2,9,40,0
52,54,9,0.964967475,1.795457981,-27.09022948,17.00906634,3.10427,2.6086588,0.467893651,0.07978,-9.33219,5,0,0,8,0,13,6,0,0,0,0,6,15
52,55,16,0.974010632,1.771324722,-28.49648837,18.05505156,3.68006,3.770987803,0.408875162,0.16202,-4.29297,4,0,3,1,4,4,5,0,0,0,0,8,4
52,57,15,0.975647785,1.953926535,-29.54756613,22.16250036,2.94503,2.972209372,0.432011654,0.13662,-7.34274,3,1,0,6,4,4,6,0,0,5,2,2,6
52,58,22,0.981216343,1.785809053,-28.57472362,23.33744155,2.7964,3.652304416,0.397660326,0.12196,-9.34631,3,0,0,14,0,2,3,0,0,7,0,2,7
52,59,14,0.991223503,1.739841448,-25.65736744,23.98942654,1.64428,4.000329634,0.378069903,0.09439,-10.57843,5,0,0,1,1,9,6,0,0,3,0,2,6
52,60,12,0.989843156,1.88487605,-26.66075824,23.71657363,2.52504,4.766767715,0.368365545,0.1113,-12.30731,5,0,0,23,15,48,6,0,0,4,0,38,44
52,61,39,0.983244889,2.023321818,-29.78265246,24.48440357,6.29484,5.515279645,0.371077126,0.03117,-30.05118,5,0,0,0,0,27,6,0,0,0,0,0,27
