frequencies,SPLs,Total,clarities,crests,SBs,CPPs,qdeltas,qcis
52,70,39,0.978720471,2.350750793,-26.56894105,24.82498292,7.394689993,0.402335068
52,71,23,0.987994753,2.342102333,-22.37307459,27.6180372,8.311851542,0.373838043
52,72,21,0.985840038,2.475300042,-22.97524242,28.04797025,9.042501431,0.36049481
52,73,31,0.985017076,2.438400705,-22.23524158,28.91789639,9.018025181,0.375565538
52,74,23,0.980125119,2.487254049,-22.0832071,27.93746104,10.30380544,0.407217637
52,75,23,0.976810972,2.614248759,-20.90711659,29.13323877,12.32846143,0.428213092
52,76,22,0.989906154,2.547338457,-20.3219246,29.45050862,12.96906305,0.381041891
52,77,23,0.982792206,2.589424186,-20.01219893,29.95357626,11.70790627,0.40376209
52,78,23,0.983100587,2.664674101,-19.59073879,30.34034469,11.70692778,0.411745712
52,79,30,0.980523919,2.628172471,-20.3240175,30.54564639,11.71679139,0.418585484
52,80,45,0.982609516,2.621549614,-19.39004724,30.49718435,12.37123562,0.428223485
52,81,22,0.989513623,2.862104969,-16.37838686,31.17739063,13.91529011,0.433385164
52,82,53,0.985688553,2.881795579,-16.45320753,31.07456516,12.60968257,0.447123199
52,83,44,0.975834968,2.941764666,-15.03194298,30.32031728,13.33109566,0.459311844
52,84,83,0.978580039,2.984687213,-14.77017621,30.69709617,11.687811,0.467466187
52,85,176,0.97770135,2.977971927,-14.04598025,29.05900241,8.658272193,0.47502768
52,86,31,0.979134928,2.842731605,-14.27978274,28.65329885,7.993682048,0.484709422
53,42,8,0.967327098,1.634198447,-15.62523852,18.41931549,4.236786798,0.504383283
53,45,16,0.978349328,1.665312952,-18.70014313,16.51561457,2.513109888,0.50647483
53,47,16,0.98169202,1.624270729,-20.97927398,15.28598137,2.331184287,0.502796892
53,48,8,0.984300731,1.574329851,-22.14393667,17.35165457,2.643486944,0.495905504
53,49,8,0.988758959,1.678466686,-22.12212721,14.89261035,1.732983426,0.507291915
53,50,23,0.987468328,1.59687626,-23.76787073,16.86050675,2.363617257,0.507458332
53,51,50,0.985067965,1.663190593,-24.85588836,17.81587503,5.612143961,0.504373852
53,52,52,0.989131127,1.571326069,-25.65683803,17.80250582,5.141525744,0.503528986
53,53,25,0.987709335,1.580338301,-26.87890336,19.14286555,1.884585788,0.505002966
53,54,15,0.990112996,1.645746443,-27.46047912,16.77652609,3.770926219,0.424683666
53,55,8,0.977598728,1.738894586,-28.59179766,19.88434863,3.32045731,0.431214394
53,56,32,0.983990808,1.781180317,-29.52600483,19.67145381,5.513335058,0.3928221
53,58,57,0.987786296,1.767331262,-31.22058995,20.83385007,3.194781485,0.401619988
53,59,15,0.974066608,1.974606461,-31.42456008,18.0786204,3.862481147,0.387254487
53,61,15,0.974373941,2.371641039,-32.49606047,21.09921258,6.095552605,0.313181073
53,62,16,0.98299565,2.209670865,-32.46290643,24.39449084,5.045080319,0.356244189
53,63,8,0.991180128,2.216778264,-29.91871048,24.24945641,8.395503552,0.364323255
53,64,15,0.981508485,2.248388963,-27.14114853,26.4416739,10.95975502,0.362892326
53,65,31,0.974858923,2.438962586,-30.9235273,24.1398607,6.684174659,0.327641094
53,66,22,0.984707526,2.560720616,-33.7325837,23.99909906,4.731830982,0.298523942
53,67,61,0.983022736,2.514119258,-32.6379196,24.66082314,4.968035324,0.319465176
53,68,8,0.976921042,2.524083078,-31.71596153,24.9350923,4.338697295,0.309247303
53,69,8,0.961642392,2.265299739,-28.90171501,23.73748056,7.913564365,0.416497841
53,72,7,0.970527488,2.390435214,-26.96938855,24.86128016,9.651586777,0.445579666
53,73,15,0.98831447,2.448201419,-24.12353039,28.14386136,8.800457498,0.419346194
53,74,8,0.965332257,2.579029369,-22.88364064,28.60437527,10.30191038,0.46683616
53,76,14,0.97389539,2.589079367,-21.51597866,28.23008453,11.33086939,0.429677425
53,77,8,0.970217276,2.371293218,-20.5345842,28.34986806,9.857988129,0.392259175
53,80,8,0.985206721,2.482491171,-22.66643273,31.8869288,11.77297518,0.426812165
53,81,23,0.980829366,2.586947745,-20.73649267,29.29402527,11.41977645,0.47227214
53,82,24,0.986262977,2.518771416,-19.90430982,31.81544404,11.98896943,0.461719494
53,83,56,0.984601373,2.707092737,-18.08842611,31.23079982,11.9472548,0.468698463
53,84,24,0.989152884,2.66903464,-18.41748531,31.03745557,9.776863874,0.507564355
53,85,92,0.975612532,2.780231471,-17.08337843,29.36223844,9.791266985,0.486285149
53,86,95,0.982118211,2.672509814,-16.30267366,30.10288315,7.561142677,0.501522714
53,87,31,0.969552257,2.705651362,-16.14590202,29.12690291,7.536493613,0.495193028
54,46,8,0.978149658,1.55095853,-18.74407505,15.78510137,2.455674488,0.500353297
54,50,10,0.985301565,1.565431289,-22.73401275,16.38445722,2.214162318,0.497481095
54,53,8,0.99147353,1.634601378,-26.95518405,18.84389024,1.645896308,0.511607837
54,60,17,0.985374535,1.942525123,-31.89301924,22.08835885,7.197118038,0.236445462
54,61,9,0.989637228,1.882825702,-32.47686934,22.31924883,7.374585055,0.245760244
54,66,3,0.966301328,2.1006407,-30.01717213,24.90233271,4.059330198,0.495450738
54,67,9,0.978723264,2.237152148,-29.06366114,26.7218831,4.819482635,0.350433635
54,68,36,0.983435564,2.578851725,-23.29543501,27.15377272,7.089408892,0.316996789
54,69,60,0.988910866,2.512262389,-23.002539,27.30529835,7.539308044,0.335361542
54,70,62,0.989073731,2.604909045,-21.90026812,27.61100261,7.651419531,0.332020546
54,71,27,0.985585136,2.462090234,-20.59611612,27.85206041,9.502106605,0.38263838
54,72,8,0.988480909,2.685523822,-19.61493264,29.25310078,7.991226656,0.3461799
54,73,18,0.988832181,2.51562824,-18.8509679,30.77222355,10.87319346,0.398111969
54,74,9,0.991187218,2.58451328,-19.03124071,30.70780337,9.085594746,0.358038272
54,75,8,0.992683261,2.5717513,-18.76982538,30.57952422,9.824894292,0.366935434
54,76,27,0.983733771,2.455181003,-17.6752592,31.65753409,11.78910113,0.422226328
54,77,9,0.993776236,2.547009437,-17.64665183,32.75098517,11.08656234,0.382660896
54,78,34,0.991842207,2.555673384,-16.79787907,33.01551961,12.12248789,0.430270099
54,79,26,0.991652244,2.505578214,-16.74005704,33.71859192,13.30502012,0.427587403
54,80,35,0.990355471,2.49638896,-16.25053337,33.36766713,13.33106161,0.432167604
54,81,44,0.990494185,2.505276706,-16.50868509,33.16977105,12.53774214,0.44797549
54,83,9,0.986516237,2.562431334,-16.35596948,32.31302655,10.97968574,0.459072365
54,84,9,0.987593598,2.580780909,-16.43568924,33.16392922,11.3598169,0.464194102
54,85,53,0.992322573,2.585200561,-15.75656366,31.61181351,12.30457948,0.46039166
54,86,43,0.988014339,2.590489067,-14.56961743,31.28808817,11.97192878,0.488056976
54,88,9,0.979725987,2.721330978,-13.5657939,30.67276289,11.09941918,0.507544064
