MIDI,dB,Total,Clarity,Crest,SpecBal,CPP,Entropy,dEGGmax,Qcontact,Icontact,HRFegg,maxCluster,Cluster 1,Cluster 2,Cluster 3,Cluster 4,Cluster 5,maxCPhon,cPhon 1,cPhon 2,cPhon 3,cPhon 4,cPhon 5,cPhon 6
51,56,7,0.971697655,1.642098337,-29.10388218,8.387149303,1.9742,2.200385914,0.463319916,0.086,-12.9932,5,0,0,4,0,5,6,0,0,4,0,0,5
51,57,8,0.970802349,1.677169411,-27.50489379,11.4137879,2.79497,2.338293863,0.465975621,0.09905,-13.73125,5,0,0,10,0,12,6,0,0,6,0,3,13
51,63,7,0.981923845,2.014142168,-22.47496046,17.36696519,4.38497,11.95548989,0.362979105,0.01516,-27.43257,5,0,0,0,0,9,6,0,0,0,0,0,9
51,64,15,0.97781935,2.055207059,-24.23473094,16.5983143,6.21332,8.862410073,0.356289713,0.05339,-34.33382,5,0,0,0,0,14,6,0,0,0,0,0,14
51,65,7,0.979523472,2.435892101,-23.16421485,16.55744346,6.85668,12.71175608,0.380643873,0.05737,-41.78147,5,0,0,0,0,9,6,0,0,0,0,0,9
51,66,15,0.97931608,2.629507979,-29.04244517,15.31343202,7.8809,10.17543756,0.301416503,0.09405,-37.83442,5,0,0,0,0,4,6,0,0,0,0,0,4
51,67,7,0.984535101,2.547366954,-23.22583225,16.67913308,4.1614,11.77720873,0.397857518,0.52733,-1.95368,4,3,0,2,4,0,5,0,3,1,1,4,0
51,68,14,0.981441754,2.484799835,-25.35810176,17.31939614,0.13123,10.44017954,0.310544593,0.2127,0.55514,2,0,1,0,0,0,5,0,0,0,0,1,0
51,69,7,0.986652202,2.615521539,-22.47061802,18.78211132,3.63347,11.3707895,0.402263369,0.142,-2.3689,3,0,0,8,0,0,5,0,0,1,0,7,0
51,70,15,0.979397301,2.519602988,-23.20380544,16.43742274,3.60577,10.22626059,0.360578955,0.12655,-8.73942,3,1,1,39,3,13,6,0,0,11,1,16,29
51,76,8,0.964791604,2.919978126,-18.11276062,16.49122438,4.02617,11.05538516,0.449136965,0.38614,0.63044,4,1,0,0,4,0,5,0,1,0,0,4,0
52,43,7,0.96313528,1.661179946,-16.43739539,7.045485023,3.19895,2.768727982,0.495838061,0.15951,-9.20071,4,0,0,0,5,2,3,0,0,4,0,1,2
52,44,12,0.969886457,1.592959229,-16.85347918,5.915674957,1.99678,6.023488061,0.494735574,0.14361,-11.41221,3,0,0,8,0,2,3,0,0,6,0,2,2
52,47,16,0.981560034,1.620146335,-19.84094017,5.954278028,3.30315,3.304368926,0.460336886,0.04135,-22.09775,5,0,0,6,0,23,6,0,0,0,0,6,23
52,49,5,0.986580044,1.675655369,-22.46412303,6.421299762,5.94393,7.410879004,0.510796619,0.02588,-35.07535,5,0,0,0,0,26,6,0,0,0,0,0,26
52,50,8,0.986170302,1.5794518,-23.10661875,7.681920511,4.99459,2.154042979,0.439198934,0.07998,-39.84114,5,0,0,0,0,22,6,0,0,0,0,0,22
52,51,21,0.986879887,1.661391797,-25.29565745,6.982199578,6.37622,8.490751294,0.493079946,0.11614,-32.6221,5,0,0,0,0,12,6,0,0,0,0,0,12
52,52,13,0.988006104,1.631286431,-25.62752034,6.157841726,0.19817,3.806737978,0.45886136,0.23896,-0.0397,2,0,13,2,1,0,5,0,0,4,0,12,0
