frequencies,SPLs,Total,clarities,crests,SBs,CPPs,qdeltas,qcis
65,51,10,0.447089,2.0155,-25.6437,22.0239,7.30177,0.427316
66,40,11,0.466797,2.01356,-33.8728,18.6959,4.61228,0.398079
66,43,55,0.495766,2.08429,-32.3826,22.7871,6.3091,0.33847
66,44,11,0.493358,1.98824,-30.0309,24.8316,6.95898,0.356852
66,46,11,0.497739,2.10608,-30.6513,26.1748,4.57127,0.33388
66,51,12,0.484426,1.95191,-21.1374,28.6047,3.78584,0.397903
67,43,10,0.479908,1.8584,-33.3721,21.9768,4.22166,0.392117
67,45,11,0.495792,2.15567,-31.3435,24.9507,4.75959,0.326391
67,47,43,0.496169,2.10695,-30.8057,25.3805,4.37437,0.336306
67,51,12,0.449608,1.90822,-20.7731,26.4686,4.04075,0.412865
67,62,11,0.494064,2.19432,-17.4813,31.8769,8.40322,0.46268
68,45,11,0.490917,1.85992,-33.1146,24.8997,3.96075,0.389334
68,48,22,0.487906,2.05324,-30.9156,24.0174,4.72547,0.377646
68,49,22,0.476779,2.06621,-24.7308,25.4652,4.31986,0.37694
68,50,22,0.430225,2.01103,-23.1593,24.7187,4.08156,0.38334
68,51,23,0.49136,2.09271,-25.8869,26.0337,4.23063,0.389772
68,52,11,0.497474,2.10917,-22.732,25.8459,4.45226,0.363401
68,58,11,0.497486,2.35784,-22.7684,30.6747,6.60229,0.413619
69,50,11,0.491395,2.0725,-23.2597,27.6338,4.74055,0.413945
69,52,22,0.497319,2.1878,-22.8578,26.6401,4.55587,0.3726
69,53,45,0.496371,2.20058,-23.7971,28.0913,5.1557,0.391067
69,54,22,0.496601,2.1916,-23.4423,29.2727,5.8576,0.403192
69,55,22,0.497796,2.27925,-22.3007,29.7927,5.81234,0.380445
69,56,23,0.496333,2.24863,-22.3903,30.797,6.46599,0.416992
69,57,22,0.497484,2.03902,-21.8638,30.9597,7.70976,0.405118
69,58,11,0.493727,2.18839,-21.3558,30.6494,9.60176,0.440632
69,60,11,0.495247,2.43038,-19.1371,32.1947,7.04466,0.432353
69,61,45,0.492654,2.45358,-17.8325,29.2792,8.20756,0.443183
69,62,11,0.497048,2.03392,-17.859,31.0347,10.5559,0.485951
69,63,11,0.495882,2.02823,-18.5651,31.8029,8.9511,0.462629
69,64,44,0.495284,2.17072,-18.2463,30.6166,10.1593,0.484805
69,68,34,0.497089,2.2997,-16.8322,33.461,11.0534,0.498702
70,52,11,0.460275,2.06595,-28.7827,21.4773,4.4225,0.429087
70,55,11,0.497042,2.03932,-22.3197,30.6006,6.26002,0.433883
70,56,22,0.496205,2.21011,-22.0626,30.9691,6.43632,0.413592
70,57,34,0.497244,2.28114,-21.741,29.1414,7.19197,0.41353
70,58,91,0.495795,2.18665,-21.8945,29.959,7.20837,0.423653
70,59,33,0.495409,2.24571,-20.8528,29.7853,8.55241,0.448836
70,60,33,0.49661,2.27942,-19.1176,30.6636,8.87868,0.446508
70,61,66,0.496082,2.32425,-16.7871,30.5028,8.82685,0.461633
70,62,101,0.495022,2.26339,-16.7378,31.1808,8.72529,0.458992
70,63,35,0.495949,2.10948,-17.9482,31.0089,9.34727,0.474798
70,65,44,0.496849,2.30652,-18.1578,32.0431,10.4853,0.492138
70,66,135,0.495898,2.29076,-17.1629,32.8418,10.176,0.483593
70,67,89,0.49593,2.3336,-15.9874,33.1304,10.4232,0.492463
70,68,67,0.497173,2.36138,-16.5565,33.1694,10.6824,0.498478
