MIDI;dB;Total;Clarity;Crest;SpecBal;CPP;Entropy;dEGGmax;Qcontact;Icontact;HRFegg;maxCluster;Cluster 1;Cluster 2;Cluster 3;Cluster 4;Cluster 5;maxCPhon;cPhon 1;cPhon 2;cPhon 3;cPhon 4;cPhon 5
59;54;24;0.497413;2.38653;-22.231;28.7661;0;5.12317;0.409252;0.17998;-23.9296;1;12;0;0;0;0;4;0;0;0;12;0
59;55;36;0.496675;2.45472;-19.5508;29.3432;0;5.89047;0.411213;0.14629;-25.0069;1;9;0;0;0;0;4;0;0;0;9;0
59;56;59;0.496883;2.50812;-18.0177;29.5853;0;6.27205;0.419186;0.14496;-23.4182;1;21;0;0;0;0;4;1;0;0;20;0
59;57;71;0.494539;2.47884;-18.0064;29.2173;0;6.60277;0.429272;0.18046;-21.7832;1;49;0;2;0;0;4;2;0;0;49;0
59;58;58;0.49355;2.34784;-18.7322;29.718;0;7.59744;0.439408;0.18158;-18.2689;1;35;0;6;1;0;4;5;1;0;36;0
59;59;23;0.493699;2.30237;-18.3676;28.7488;0;7.91767;0.448618;0.21534;-12.4828;1;19;0;14;1;0;4;8;2;0;24;0
59;60;12;0.494525;2.48472;-17.4196;30.954;0;6.87385;0.437793;0.17226;-20.7392;1;84;0;1;5;0;4;5;0;0;85;0
59;61;36;0.496069;2.50068;-17.7032;31.0214;0;7.47677;0.454906;0.16284;-21.8341;1;23;0;0;0;0;4;0;0;0;23;0
59;62;23;0.496663;2.57445;-17.3593;31.5033;0;8.72617;0.456811;0.18277;-5.96211;3;9;0;17;4;0;1;17;0;0;13;0
59;63;35;0.493318;2.53087;-17.189;30.8873;0;8.36163;0.468055;0.16884;-14.8949;1;16;0;5;1;0;4;3;1;0;18;0
59;64;35;0.496541;2.55112;-16.6048;32.3802;0;8.91813;0.471324;0.23813;1.16311;3;0;0;3;0;0;1;3;0;0;0;0
59;65;82;0.497366;2.59908;-16.1681;32.8253;0;9.35299;0.477812;0.21557;1.86501;3;0;0;4;0;0;1;3;1;0;0;0
59;66;106;0.496615;2.52244;-16.2983;31.8556;0;9.41611;0.498923;0.24748;-3.85298;2;3;12;5;10;2;1;26;0;0;6;0
59;67;94;0.496402;2.50338;-16.3319;31.9677;0;9.66852;0.502206;0.27037;-4.8182;2;0;4;1;0;2;1;6;0;0;1;0
59;68;23;0.496721;2.54596;-16.4826;32.0682;0;10.1225;0.506383;0.37371;-0.38661;4;1;2;0;4;0;1;4;0;1;1;1
60;40;37;0.492465;1.71938;-35.0312;19.0566;0;5.54016;0.455111;0;0;0;0;0;0;0;0;0;0;0;0;0;0
60;41;8;0.491639;2.32129;-27.3835;26.4167;0;6.71144;0.349626;0;0;0;0;0;0;0;0;0;0;0;0;0;0
60;42;39;0.49416;2.57073;-24.0117;27.2704;0;7.69297;0.317302;0;0;0;0;0;0;0;0;0;0;0;0;0;0
60;43;17;0.496206;2.63283;-22.8134;26.0416;0;7.34339;0.320369;0;0;0;0;0;0;0;0;0;0;0;0;0;0
60;44;9;0.49601;2.65512;-21.2442;28.2829;0;7.23694;0.318534;0;0;0;0;0;0;0;0;0;0;0;0;0;0
